run_id,module_name,category,status,critical,rows,latest_value,message,finished_at_utc
20260525T121400+0000,market_prices,主資料,success,True,116760,2026-05-25T00:00:00+00:00,updated prices.parquet,2026-05-25T12:14:04+00:00
20260525T121400+0000,market_macro,主資料,success,True,17621,2026-05-22T00:00:00+00:00,updated macro.parquet,2026-05-25T12:14:04+00:00
20260525T121400+0000,watchlist_news,新聞,success,True,120,2026-05-25T06:55:00+00:00,updated news.parquet,2026-05-25T12:14:10+00:00
20260525T121400+0000,international_news,新聞,success,False,37,2026-05-25T06:08:20+00:00,updated international_news.parquet,2026-05-25T12:14:12+00:00
20260525T121400+0000,discovery_news,探索,success,False,35,2026-05-25T03:20:00+00:00,updated discovery_news.parquet,2026-05-25T12:14:13+00:00
20260525T121400+0000,tsla_focus_news,專題,success,False,48,2026-05-24T13:26:12+00:00,updated tsla_keyword_news.parquet,2026-05-25T12:14:21+00:00
20260525T121400+0000,discovery_mentions,探索,success,False,17,2026-05-25T03:20:00+00:00,updated discovery_mentions.parquet,2026-05-25T12:14:23+00:00
20260525T121400+0000,discovery_candidates,探索,success,False,10,2026-05-25T12:14:00+00:00,updated discovery_candidates.parquet,2026-05-25T12:14:23+00:00
20260525T121400+0000,discovery_history,探索,success,False,55,2026-05-25T00:00:00+00:00,updated discovery_history.parquet,2026-05-25T12:14:23+00:00
20260525T121400+0000,discovery_performance,探索,success,False,114,,updated discovery_performance.parquet,2026-05-25T12:14:23+00:00
20260525T121400+0000,governance_summary,治理,success,False,4,,updated governance_summary.parquet,2026-05-25T12:14:23+00:00
20260525T121400+0000,kg_fact_events,知識圖譜,success,False,154,2026-05-25T06:55:00+00:00,updated kg/fact_events.parquet,2026-05-25T12:14:25+00:00
20260525T121400+0000,kg_narratives,知識圖譜,success,False,154,2026-05-25T06:55:00+00:00,updated kg/narrative_features.parquet,2026-05-25T12:14:25+00:00
20260525T121400+0000,kg_reactions,知識圖譜,success,False,508,2026-05-25T00:00:00+00:00,updated kg/market_reactions.parquet,2026-05-25T12:14:25+00:00
